name,email,street,city,state,zipcode
Einti,drevance0@unc.edu,42 Derek Lane,Sioux Falls,South Dakota,57193
Innojam,pdabner1@arizona.edu,4 Glacier Hill Way,Seattle,Washington,98140
Yakitri,hsalvatore2@feedburner.com,77 Swallow Parkway,Phoenix,Arizona,85045
Riffpath,rodonovan3@buzzfeed.com,0993 Grayhawk Street,Fort Wayne,Indiana,46896
Edgeify,bockland4@bravesites.com,582 Calypso Pass,New York City,New York,10160
Dablist,ehanaford5@xing.com,7347 Park Meadow Plaza,West Palm Beach,Florida,33421
Geba,dcurtin6@godaddy.com,0648 High Crossing Park,Charlotte,North Carolina,28278
Gigashots,tknibbs7@ibm.com,8 Loftsgordon Parkway,Saint Louis,Missouri,63110
Mybuzz,bphilipart8@prlog.org,713 Hovde Junction,Topeka,Kansas,66699
Teklist,htingly9@purevolume.com,80 Columbus Parkway,Pittsburgh,Pennsylvania,15279
